date,day_index,day_of_week,lunch_period,menu_item,item_category,component_type,sealed_or_whole,cold_chain_required,planned_count,staged_count,selected_count,unopened_return_count,share_table_pickup_count,afterschool_pickup_count,discarded_count,tray_waste_kg,expected_attendance,actual_attendance,expected_lunch_period_attendance,actual_lunch_period_attendance,weather_tag,event_tag,entree,entree_popularity_score,line_position,share_table_monitor,cooler_capacity,afterschool_activity_count,stockout_occurred,intervention_used,estimated_kg_diverted,estimated_co2e_avoided,estimated_cost_protected,kg_per_item,cost_per_item,co2e_kg_per_item,ghost_component_rate,high_ghost_risk
2025-08-12,0,Tuesday,2,white milk,cold beverage,milk,1,1,279,279,279,60,3,3,54,0.0,993,1014,467,499,normal,normal,cheese pizza,0.58,before_cashier,0,0,179,0,none,1.44,1.98,2.52,0.24,0.42,0.33,0.2151,1
2025-08-12,0,Tuesday,2,chocolate milk,cold beverage,milk,1,1,196,196,196,42,0,1,41,0.5,993,1014,467,499,normal,normal,cheese pizza,0.4,before_cashier,0,0,179,1,none,0.24,0.34,0.44,0.24,0.44,0.34,0.2143,1
2025-08-12,0,Tuesday,2,apple,whole fruit,fruit,1,0,235,235,235,59,10,20,29,0.0,993,1014,467,499,normal,normal,cheese pizza,0.449,before_cashier,0,0,179,0,none,5.4,2.4,10.8,0.18,0.36,0.08,0.2511,1
2025-08-12,0,Tuesday,2,banana,whole fruit,fruit,1,0,167,167,140,23,4,11,8,2.51,993,1014,467,499,normal,normal,cheese pizza,0.335,before_cashier,0,0,179,0,none,2.1,1.05,5.1,0.14,0.34,0.07,0.1643,1
2025-08-12,0,Tuesday,2,fruit cup,sealed side,fruit,1,0,134,134,116,11,0,6,5,0.0,993,1014,467,499,normal,normal,cheese pizza,0.279,after_entree,0,0,179,0,none,0.72,0.6,3.3,0.12,0.55,0.1,0.0948,0
2025-08-12,0,Tuesday,2,baby carrots,sealed side,vegetable,1,0,132,132,121,25,4,10,11,0.0,993,1014,467,499,normal,normal,cheese pizza,0.262,before_cashier,0,0,179,0,none,1.26,0.84,5.32,0.09,0.38,0.06,0.2066,1
2025-08-12,0,Tuesday,2,yogurt cup,sealed side,protein side,1,1,95,95,78,6,0,1,5,2.63,993,1014,467,499,normal,normal,cheese pizza,0.181,after_entree,0,0,179,0,none,0.17,0.25,0.7,0.17,0.7,0.25,0.0769,0
2025-08-12,0,Tuesday,2,granola pack,sealed side,grain,1,0,95,95,95,3,0,0,3,0.0,993,1014,467,499,normal,normal,cheese pizza,0.197,after_entree,0,0,179,1,none,0.0,0.0,0.0,0.04,0.32,0.06,0.0316,0
2025-08-12,0,Tuesday,2,veggie wrap,cold entree,entree,1,1,81,81,78,19,0,0,19,0.44,993,1014,467,499,normal,normal,cheese pizza,0.172,entree_station,0,0,179,0,none,0.0,0.0,0.0,0.3,1.75,0.55,0.2436,0
2025-08-12,0,Tuesday,2,cheese pizza,hot entree,entree,0,0,254,254,246,0,0,0,0,3.56,993,1014,467,499,normal,normal,cheese pizza,0.499,entree_station,0,0,179,0,none,0.0,0.0,0.0,0.28,1.25,0.7,0.0,0
2025-08-13,1,Wednesday,1,white milk,cold beverage,milk,1,1,287,241,241,42,14,11,17,0.0,1045,1088,534,545,windy,normal,veggie wrap,0.508,before_cashier,1,75,163,1,two_wave_staging,6.0,8.25,10.5,0.24,0.42,0.33,0.1743,1
2025-08-13,1,Wednesday,1,chocolate milk,cold beverage,milk,1,1,196,157,157,10,3,2,5,0.0,1045,1088,534,545,windy,normal,veggie wrap,0.36,before_cashier,1,75,163,1,two_wave_staging,1.2,1.7,2.2,0.24,0.44,0.34,0.0637,0
2025-08-13,1,Wednesday,1,apple,whole fruit,fruit,1,0,231,231,231,55,18,10,27,0.46,1045,1088,534,545,windy,normal,veggie wrap,0.392,before_cashier,1,75,163,0,two_wave_staging,5.04,2.24,10.08,0.18,0.36,0.08,0.2381,1
2025-08-13,1,Wednesday,1,banana,whole fruit,fruit,1,0,195,195,195,22,4,4,14,0.0,1045,1088,534,545,windy,normal,veggie wrap,0.335,before_cashier,1,75,163,1,two_wave_staging,1.12,0.56,2.72,0.14,0.34,0.07,0.1128,0
2025-08-13,1,Wednesday,1,fruit cup,sealed side,fruit,1,0,150,150,126,11,4,2,5,0.0,1045,1088,534,545,windy,normal,veggie wrap,0.271,after_entree,1,75,163,0,two_wave_staging,0.72,0.6,3.3,0.12,0.55,0.1,0.0873,0
2025-08-13,1,Wednesday,1,baby carrots,sealed side,vegetable,1,0,135,135,101,19,8,2,9,0.0,1045,1088,534,545,windy,normal,veggie wrap,0.236,before_cashier,1,75,163,0,two_wave_staging,0.9,0.6,3.8,0.09,0.38,0.06,0.1881,0
2025-08-13,1,Wednesday,1,yogurt cup,sealed side,protein side,1,1,98,83,83,2,0,0,2,1.02,1045,1088,534,545,windy,normal,veggie wrap,0.181,after_entree,1,75,163,1,two_wave_staging,0.0,0.0,0.0,0.17,0.7,0.25,0.0241,0
2025-08-13,1,Wednesday,1,granola pack,sealed side,grain,1,0,112,112,93,1,1,0,0,0.0,1045,1088,534,545,windy,normal,veggie wrap,0.197,after_entree,1,75,163,0,two_wave_staging,0.04,0.06,0.32,0.04,0.32,0.06,0.0108,0
2025-08-13,1,Wednesday,1,veggie wrap,cold entree,entree,1,1,104,86,86,9,2,2,5,1.02,1045,1088,534,545,windy,normal,veggie wrap,0.172,entree_station,1,75,163,1,two_wave_staging,1.2,2.2,7.0,0.3,1.75,0.55,0.1047,0
2025-08-13,1,Wednesday,2,white milk,cold beverage,milk,1,1,281,281,273,75,31,23,21,1.51,1045,1088,517,559,windy,normal,veggie wrap,0.523,before_cashier,1,75,163,0,none,12.96,17.82,22.68,0.24,0.42,0.33,0.2747,1
2025-08-13,1,Wednesday,2,chocolate milk,cold beverage,milk,1,1,196,196,196,20,7,7,6,0.0,1045,1088,517,559,windy,normal,veggie wrap,0.36,before_cashier,1,75,163,1,none,3.36,4.76,6.16,0.24,0.44,0.34,0.102,0
2025-08-13,1,Wednesday,2,apple,whole fruit,fruit,1,0,198,198,198,58,21,12,25,0.61,1045,1088,517,559,windy,normal,veggie wrap,0.404,before_cashier,1,75,163,1,none,5.94,2.64,11.88,0.18,0.36,0.08,0.2929,1
2025-08-13,1,Wednesday,2,banana,whole fruit,fruit,1,0,194,194,181,33,13,6,14,0.85,1045,1088,517,559,windy,normal,veggie wrap,0.335,before_cashier,1,75,163,0,none,2.66,1.33,6.46,0.14,0.34,0.07,0.1823,1
2025-08-13,1,Wednesday,2,fruit cup,sealed side,fruit,1,0,158,158,158,20,7,6,7,0.19,1045,1088,517,559,windy,normal,veggie wrap,0.279,after_entree,1,75,163,1,none,1.56,1.3,7.15,0.12,0.55,0.1,0.1266,1
2025-08-13,1,Wednesday,2,baby carrots,sealed side,vegetable,1,0,124,124,124,23,5,10,8,2.25,1045,1088,517,559,windy,normal,veggie wrap,0.236,before_cashier,1,75,163,1,none,1.35,0.9,5.7,0.09,0.38,0.06,0.1855,1
2025-08-13,1,Wednesday,2,yogurt cup,sealed side,protein side,1,1,100,100,87,12,7,1,4,0.0,1045,1088,517,559,windy,normal,veggie wrap,0.181,after_entree,1,75,163,0,none,1.36,2.0,5.6,0.17,0.7,0.25,0.1379,0
2025-08-13,1,Wednesday,2,granola pack,sealed side,grain,1,0,103,103,103,7,3,2,2,0.0,1045,1088,517,559,windy,normal,veggie wrap,0.197,after_entree,1,75,163,0,none,0.2,0.3,1.6,0.04,0.32,0.06,0.068,0
2025-08-13,1,Wednesday,2,veggie wrap,cold entree,entree,1,1,98,98,95,5,0,2,3,0.0,1045,1088,517,559,windy,normal,veggie wrap,0.172,entree_station,1,75,163,1,none,0.6,1.1,3.5,0.3,1.75,0.55,0.0526,0
2025-08-14,2,Thursday,1,white milk,cold beverage,milk,1,1,357,357,289,74,34,18,22,0.43,1033,1038,535,537,hot,normal,cheese pizza,0.592,before_cashier,1,60,180,0,none,12.48,17.16,21.84,0.24,0.42,0.33,0.2561,1
2025-08-14,2,Thursday,1,chocolate milk,cold beverage,milk,1,1,252,252,248,35,6,11,18,0.0,1033,1038,535,537,hot,normal,cheese pizza,0.42,before_cashier,1,60,180,0,none,4.08,5.78,7.48,0.24,0.44,0.34,0.1411,1
2025-08-14,2,Thursday,1,apple,whole fruit,fruit,1,0,233,233,200,49,16,21,12,0.55,1033,1038,535,537,hot,normal,cheese pizza,0.436,before_cashier,1,60,180,0,none,6.66,2.96,13.32,0.18,0.36,0.08,0.245,1
2025-08-14,2,Thursday,1,banana,whole fruit,fruit,1,0,194,194,175,35,9,9,17,0.42,1033,1038,535,537,hot,normal,cheese pizza,0.335,before_cashier,1,60,180,0,none,2.52,1.26,6.12,0.14,0.34,0.07,0.2,1
2025-08-14,2,Thursday,1,fruit cup,sealed side,fruit,1,0,155,155,151,13,1,2,10,0.0,1033,1038,535,537,hot,normal,cheese pizza,0.271,after_entree,1,60,180,0,none,0.36,0.3,1.65,0.12,0.55,0.1,0.0861,0
2025-08-14,2,Thursday,1,baby carrots,sealed side,vegetable,1,0,137,137,116,12,7,3,2,0.96,1033,1038,535,537,hot,normal,cheese pizza,0.262,before_cashier,1,60,180,0,none,0.9,0.6,3.8,0.09,0.38,0.06,0.1034,0
2025-08-14,2,Thursday,1,yogurt cup,sealed side,protein side,1,1,109,109,106,10,2,4,4,0.0,1033,1038,535,537,hot,normal,cheese pizza,0.181,after_entree,1,60,180,0,none,1.02,1.5,4.2,0.17,0.7,0.25,0.0943,0
2025-08-14,2,Thursday,1,granola pack,sealed side,grain,1,0,109,109,106,6,3,0,3,0.5,1033,1038,535,537,hot,normal,cheese pizza,0.197,after_entree,1,60,180,0,none,0.12,0.18,0.96,0.04,0.32,0.06,0.0566,0
2025-08-14,2,Thursday,1,veggie wrap,cold entree,entree,1,1,98,98,83,8,3,3,2,0.0,1033,1038,535,537,hot,normal,cheese pizza,0.172,entree_station,1,60,180,0,none,1.8,3.3,10.5,0.3,1.75,0.55,0.0964,0
2025-08-14,2,Thursday,1,cheese pizza,hot entree,entree,0,0,285,285,276,0,0,0,0,1.52,1033,1038,535,537,hot,normal,cheese pizza,0.499,entree_station,1,60,180,0,none,0.0,0.0,0.0,0.28,1.25,0.7,0.0,0
2025-08-14,2,Thursday,2,white milk,cold beverage,milk,1,1,350,279,279,76,24,20,32,0.59,1033,1038,506,471,hot,normal,cheese pizza,0.609,before_cashier,1,60,180,0,two_wave_staging,10.56,14.52,18.48,0.24,0.42,0.33,0.2724,1
2025-08-14,2,Thursday,2,chocolate milk,cold beverage,milk,1,1,232,198,196,28,8,8,12,2.61,1033,1038,506,471,hot,normal,cheese pizza,0.42,before_cashier,1,60,180,0,two_wave_staging,3.84,5.44,7.04,0.24,0.44,0.34,0.1429,1
2025-08-14,2,Thursday,2,apple,whole fruit,fruit,1,0,249,249,202,59,24,15,20,1.49,1033,1038,506,471,hot,normal,cheese pizza,0.449,before_cashier,1,60,180,0,two_wave_staging,7.02,3.12,14.04,0.18,0.36,0.08,0.2921,1
2025-08-14,2,Thursday,2,banana,whole fruit,fruit,1,0,205,205,168,44,21,8,15,0.0,1033,1038,506,471,hot,normal,cheese pizza,0.335,before_cashier,1,60,180,0,two_wave_staging,4.06,2.03,9.86,0.14,0.34,0.07,0.2619,1
2025-08-14,2,Thursday,2,fruit cup,sealed side,fruit,1,0,146,146,144,14,4,3,7,0.65,1033,1038,506,471,hot,normal,cheese pizza,0.279,after_entree,1,60,180,0,two_wave_staging,0.84,0.7,3.85,0.12,0.55,0.1,0.0972,0
2025-08-14,2,Thursday,2,baby carrots,sealed side,vegetable,1,0,130,130,107,19,7,3,9,1.13,1033,1038,506,471,hot,normal,cheese pizza,0.262,before_cashier,1,60,180,0,two_wave_staging,0.9,0.6,3.8,0.09,0.38,0.06,0.1776,0
2025-08-14,2,Thursday,2,yogurt cup,sealed side,protein side,1,1,85,76,76,7,2,2,3,0.0,1033,1038,506,471,hot,normal,cheese pizza,0.181,after_entree,1,60,180,1,two_wave_staging,0.68,1.0,2.8,0.17,0.7,0.25,0.0921,0
2025-08-14,2,Thursday,2,granola pack,sealed side,grain,1,0,107,107,100,4,4,0,0,1.1,1033,1038,506,471,hot,normal,cheese pizza,0.197,after_entree,1,60,180,0,two_wave_staging,0.16,0.24,1.28,0.04,0.32,0.06,0.04,0
2025-08-14,2,Thursday,2,veggie wrap,cold entree,entree,1,1,89,78,78,13,6,3,4,2.33,1033,1038,506,471,hot,normal,cheese pizza,0.172,entree_station,1,60,180,1,two_wave_staging,2.7,4.95,15.75,0.3,1.75,0.55,0.1667,0
2025-08-14,2,Thursday,2,cheese pizza,hot entree,entree,0,0,292,292,222,0,0,0,0,2.1,1033,1038,506,471,hot,normal,cheese pizza,0.499,entree_station,1,60,180,0,two_wave_staging,0.0,0.0,0.0,0.28,1.25,0.7,0.0,0
2025-08-15,3,Friday,1,white milk,cold beverage,milk,1,1,285,285,250,45,22,6,17,1.03,1012,952,524,499,normal,normal,chicken sandwich,0.508,before_cashier,1,90,87,0,share_cooler,6.72,9.24,11.76,0.24,0.42,0.33,0.18,1
2025-08-15,3,Friday,1,chocolate milk,cold beverage,milk,1,1,203,203,170,15,9,3,3,0.0,1012,952,524,499,normal,normal,chicken sandwich,0.36,before_cashier,1,90,87,0,share_cooler,2.88,4.08,5.28,0.24,0.44,0.34,0.0882,0
2025-08-15,3,Friday,1,apple,whole fruit,fruit,1,0,247,247,209,51,33,4,14,0.88,1012,952,524,499,normal,normal,chicken sandwich,0.436,before_cashier,1,90,87,0,share_cooler,6.66,2.96,13.32,0.18,0.36,0.08,0.244,1
2025-08-15,3,Friday,1,banana,whole fruit,fruit,1,0,189,189,164,39,21,5,13,0.0,1012,952,524,499,normal,normal,chicken sandwich,0.335,before_cashier,1,90,87,0,share_cooler,3.64,1.82,8.84,0.14,0.34,0.07,0.2378,1
2025-08-15,3,Friday,1,fruit cup,sealed side,fruit,1,0,158,158,148,13,4,1,8,2.04,1012,952,524,499,normal,normal,chicken sandwich,0.271,after_entree,1,90,87,0,share_cooler,0.6,0.5,2.75,0.12,0.55,0.1,0.0878,0
2025-08-15,3,Friday,1,baby carrots,sealed side,vegetable,1,0,160,160,105,20,11,4,5,1.03,1012,952,524,499,normal,normal,chicken sandwich,0.262,before_cashier,1,90,87,0,share_cooler,1.35,0.9,5.7,0.09,0.38,0.06,0.1905,1
2025-08-15,3,Friday,1,yogurt cup,sealed side,protein side,1,1,104,104,93,8,3,0,5,0.74,1012,952,524,499,normal,normal,chicken sandwich,0.181,after_entree,1,90,87,0,share_cooler,0.51,0.75,2.1,0.17,0.7,0.25,0.086,0
2025-08-15,3,Friday,1,granola pack,sealed side,grain,1,0,102,102,95,4,1,1,2,0.56,1012,952,524,499,normal,normal,chicken sandwich,0.197,after_entree,1,90,87,0,share_cooler,0.08,0.12,0.64,0.04,0.32,0.06,0.0421,0
2025-08-15,3,Friday,1,veggie wrap,cold entree,entree,1,1,100,100,83,17,9,2,6,0.66,1012,952,524,499,normal,normal,chicken sandwich,0.172,entree_station,1,90,87,0,share_cooler,3.3,6.05,19.25,0.3,1.75,0.55,0.2048,0
2025-08-15,3,Friday,1,chicken sandwich,hot entree,entree,0,0,253,253,206,0,0,0,0,0.5,1012,952,524,499,normal,normal,chicken sandwich,0.438,entree_station,1,90,87,0,share_cooler,0.0,0.0,0.0,0.34,1.85,0.9,0.0,0
2025-08-15,3,Friday,2,white milk,cold beverage,milk,1,1,277,277,180,34,8,4,22,0.0,1012,952,501,413,normal,normal,chicken sandwich,0.523,after_entree,1,90,87,0,line_reposition,2.88,3.96,5.04,0.24,0.42,0.33,0.1889,1
2025-08-15,3,Friday,2,chocolate milk,cold beverage,milk,1,1,181,181,169,16,6,6,4,0.07,1012,952,501,413,normal,normal,chicken sandwich,0.36,after_entree,1,90,87,0,line_reposition,2.88,4.08,5.28,0.24,0.44,0.34,0.0947,0
2025-08-15,3,Friday,2,apple,whole fruit,fruit,1,0,228,228,159,29,8,3,18,2.17,1012,952,501,413,normal,normal,chicken sandwich,0.449,after_entree,1,90,87,0,line_reposition,1.98,0.88,3.96,0.18,0.36,0.08,0.1824,1
2025-08-15,3,Friday,2,banana,whole fruit,fruit,1,0,183,183,129,23,11,2,10,0.0,1012,952,501,413,normal,normal,chicken sandwich,0.335,after_entree,1,90,87,0,line_reposition,1.82,0.91,4.42,0.14,0.34,0.07,0.1783,1
2025-08-15,3,Friday,2,fruit cup,sealed side,fruit,1,0,148,148,103,13,6,1,6,0.0,1012,952,501,413,normal,normal,chicken sandwich,0.279,after_entree,1,90,87,0,line_reposition,0.84,0.7,3.85,0.12,0.55,0.1,0.1262,0
2025-08-15,3,Friday,2,baby carrots,sealed side,vegetable,1,0,143,143,93,14,5,3,6,2.91,1012,952,501,413,normal,normal,chicken sandwich,0.262,after_entree,1,90,87,0,line_reposition,0.72,0.48,3.04,0.09,0.38,0.06,0.1505,0
2025-08-15,3,Friday,2,yogurt cup,sealed side,protein side,1,1,97,97,82,10,2,2,6,0.0,1012,952,501,413,normal,normal,chicken sandwich,0.181,after_entree,1,90,87,0,line_reposition,0.68,1.0,2.8,0.17,0.7,0.25,0.122,0
2025-08-15,3,Friday,2,granola pack,sealed side,grain,1,0,113,113,75,4,3,0,1,1.16,1012,952,501,413,normal,normal,chicken sandwich,0.197,after_entree,1,90,87,0,line_reposition,0.12,0.18,0.96,0.04,0.32,0.06,0.0533,0
2025-08-15,3,Friday,2,veggie wrap,cold entree,entree,1,1,89,89,51,8,1,0,7,1.72,1012,952,501,413,normal,normal,chicken sandwich,0.172,entree_station,1,90,87,0,line_reposition,0.3,0.55,1.75,0.3,1.75,0.55,0.1569,0
2025-08-15,3,Friday,2,chicken sandwich,hot entree,entree,0,0,236,236,190,0,0,0,0,2.29,1012,952,501,413,normal,normal,chicken sandwich,0.438,entree_station,1,90,87,0,line_reposition,0.0,0.0,0.0,0.34,1.85,0.9,0.0,0
2025-08-18,4,Monday,1,white milk,cold beverage,milk,1,1,297,297,245,57,1,1,55,0.0,1021,995,515,495,normal,normal,pasta bowl,0.543,before_cashier,0,0,139,0,none,0.48,0.66,0.84,0.24,0.42,0.33,0.2327,1
2025-08-18,4,Monday,1,chocolate milk,cold beverage,milk,1,1,222,222,166,22,0,2,20,0.9,1021,995,515,495,normal,normal,pasta bowl,0.385,before_cashier,0,0,139,0,none,0.48,0.68,0.88,0.24,0.44,0.34,0.1325,1
2025-08-18,4,Monday,1,apple,whole fruit,fruit,1,0,244,244,233,55,11,17,27,1.68,1021,995,515,495,normal,normal,pasta bowl,0.436,before_cashier,0,0,139,0,none,5.04,2.24,10.08,0.18,0.36,0.08,0.2361,1
2025-08-18,4,Monday,1,banana,whole fruit,fruit,1,0,187,187,187,33,7,13,13,0.0,1021,995,515,495,normal,normal,pasta bowl,0.335,before_cashier,0,0,139,0,none,2.8,1.4,6.8,0.14,0.34,0.07,0.1765,1
2025-08-18,4,Monday,1,fruit cup,sealed side,fruit,1,0,158,158,129,13,2,3,8,1.59,1021,995,515,495,normal,normal,pasta bowl,0.271,after_entree,0,0,139,0,none,0.6,0.5,2.75,0.12,0.55,0.1,0.1008,0
2025-08-18,4,Monday,1,baby carrots,sealed side,vegetable,1,0,149,149,122,19,3,6,10,0.0,1021,995,515,495,normal,normal,pasta bowl,0.262,before_cashier,0,0,139,0,none,0.81,0.54,3.42,0.09,0.38,0.06,0.1557,0
2025-08-18,4,Monday,1,yogurt cup,sealed side,protein side,1,1,107,107,99,4,0,0,4,0.0,1021,995,515,495,normal,normal,pasta bowl,0.181,after_entree,0,0,139,0,none,0.0,0.0,0.0,0.17,0.7,0.25,0.0404,0
2025-08-18,4,Monday,1,granola pack,sealed side,grain,1,0,102,102,96,5,2,2,1,0.04,1021,995,515,495,normal,normal,pasta bowl,0.197,after_entree,0,0,139,0,none,0.16,0.24,1.28,0.04,0.32,0.06,0.0521,0
2025-08-18,4,Monday,1,pasta bowl,hot entree,entree,0,0,198,198,161,0,0,0,0,0.03,1021,995,515,495,normal,normal,pasta bowl,0.36,entree_station,0,0,139,0,none,0.0,0.0,0.0,0.38,1.5,0.76,0.0,0
2025-08-18,4,Monday,1,veggie wrap,cold entree,entree,1,1,98,98,76,11,1,0,10,1.84,1021,995,515,495,normal,normal,pasta bowl,0.172,entree_station,0,0,139,0,none,0.3,0.55,1.75,0.3,1.75,0.55,0.1447,0
2025-08-18,4,Monday,2,white milk,cold beverage,milk,1,1,294,294,291,58,2,1,55,0.0,1021,995,479,462,normal,normal,pasta bowl,0.559,before_cashier,0,0,139,0,none,0.72,0.99,1.26,0.24,0.42,0.33,0.1993,1
2025-08-18,4,Monday,2,chocolate milk,cold beverage,milk,1,1,193,193,179,29,0,2,27,0.0,1021,995,479,462,normal,normal,pasta bowl,0.385,before_cashier,0,0,139,0,none,0.48,0.68,0.88,0.24,0.44,0.34,0.162,1
2025-08-18,4,Monday,2,apple,whole fruit,fruit,1,0,235,235,175,44,11,12,21,0.0,1021,995,479,462,normal,normal,pasta bowl,0.449,before_cashier,0,0,139,0,none,4.14,1.84,8.28,0.18,0.36,0.08,0.2514,1
2025-08-18,4,Monday,2,banana,whole fruit,fruit,1,0,170,170,170,27,5,6,16,3.96,1021,995,479,462,normal,normal,pasta bowl,0.335,before_cashier,0,0,139,0,none,1.54,0.77,3.74,0.14,0.34,0.07,0.1588,1
2025-08-18,4,Monday,2,fruit cup,sealed side,fruit,1,0,150,150,122,14,1,2,11,0.42,1021,995,479,462,normal,normal,pasta bowl,0.279,after_entree,0,0,139,0,none,0.36,0.3,1.65,0.12,0.55,0.1,0.1148,0
2025-08-18,4,Monday,2,baby carrots,sealed side,vegetable,1,0,138,138,105,16,3,3,10,0.0,1021,995,479,462,normal,normal,pasta bowl,0.262,before_cashier,0,0,139,0,none,0.54,0.36,2.28,0.09,0.38,0.06,0.1524,0
2025-08-18,4,Monday,2,yogurt cup,sealed side,protein side,1,1,97,97,71,4,0,1,3,0.41,1021,995,479,462,normal,normal,pasta bowl,0.181,after_entree,0,0,139,0,none,0.17,0.25,0.7,0.17,0.7,0.25,0.0563,0
2025-08-18,4,Monday,2,granola pack,sealed side,grain,1,0,102,102,65,2,1,1,0,0.0,1021,995,479,462,normal,normal,pasta bowl,0.197,after_entree,0,0,139,0,none,0.08,0.12,0.64,0.04,0.32,0.06,0.0308,0
2025-08-18,4,Monday,2,pasta bowl,hot entree,entree,0,0,194,194,143,0,0,0,0,1.71,1021,995,479,462,normal,normal,pasta bowl,0.36,entree_station,0,0,139,0,none,0.0,0.0,0.0,0.38,1.5,0.76,0.0,0
2025-08-18,4,Monday,2,veggie wrap,cold entree,entree,1,1,94,94,60,9,0,0,9,0.0,1021,995,479,462,normal,normal,pasta bowl,0.172,entree_station,0,0,139,0,none,0.0,0.0,0.0,0.3,1.75,0.55,0.15,0
2025-08-19,5,Tuesday,1,white milk,cold beverage,milk,1,1,351,311,260,44,26,10,8,1.04,984,995,527,514,cold,normal,cheese pizza,0.563,after_entree,1,90,147,0,combo,8.64,11.88,15.12,0.24,0.42,0.33,0.1692,1
2025-08-19,5,Tuesday,1,chocolate milk,cold beverage,milk,1,1,239,211,192,24,9,10,5,0.0,984,995,527,514,cold,normal,cheese pizza,0.4,after_entree,1,90,147,0,combo,4.56,6.46,8.36,0.24,0.44,0.34,0.125,1
2025-08-19,5,Tuesday,1,apple,whole fruit,fruit,1,0,241,241,232,39,27,9,3,0.34,984,995,527,514,cold,normal,cheese pizza,0.436,after_entree,1,90,147,0,combo,6.48,2.88,12.96,0.18,0.36,0.08,0.1681,1
2025-08-19,5,Tuesday,1,banana,whole fruit,fruit,1,0,200,200,195,33,23,7,3,1.29,984,995,527,514,cold,normal,cheese pizza,0.335,after_entree,1,90,147,0,combo,4.2,2.1,10.2,0.14,0.34,0.07,0.1692,1
2025-08-19,5,Tuesday,1,fruit cup,sealed side,fruit,1,0,160,160,151,14,4,6,4,0.51,984,995,527,514,cold,normal,cheese pizza,0.271,after_entree,1,90,147,0,combo,1.2,1.0,5.5,0.12,0.55,0.1,0.0927,0
2025-08-19,5,Tuesday,1,baby carrots,sealed side,vegetable,1,0,123,123,117,18,11,4,3,0.0,984,995,527,514,cold,normal,cheese pizza,0.262,after_entree,1,90,147,0,combo,1.35,0.9,5.7,0.09,0.38,0.06,0.1538,0
2025-08-19,5,Tuesday,1,yogurt cup,sealed side,protein side,1,1,113,98,98,7,7,0,0,0.0,984,995,527,514,cold,normal,cheese pizza,0.181,after_entree,1,90,147,0,combo,1.19,1.75,4.9,0.17,0.7,0.25,0.0714,0
